類型,公司代號 ,公司名稱 ,上市日,市場別,產業別,CFICode
股票 ,2313,華通,1990/7/24,上市,電子零組件業,ESVUFR
股票 ,2314,台揚,1990/8/8,上市,通信網路業,ESVUFR
股票 ,2316,楠梓電,1991/2/5,上市,電子零組件業,ESVUFR
股票 ,2317,鴻海,1991/6/18,上市,其他電子業,ESVUFR
股票 ,2321,東訊,1991/11/8,上市,通信網路業,ESVUFR
股票 ,2323,中環,1992/2/17,上市,光電業,ESVUFR
股票 ,2324,仁寶,1992/2/18,上市,電腦及週邊設備業,ESVUFR
股票 ,2327,國巨*,1993/10/22,上市,電子零組件業,ESVUFR
股票 ,2328,廣宇,1993/11/9,上市,電子零組件業,ESVUFR
股票 ,2329,華泰,1994/4/20,上市,半導體業,ESVUFR
股票 ,2330,台積電,1994/9/5,上市,半導體業,ESVUFR
股票 ,2331,精英,1994/9/21,上市,電腦及週邊設備業,ESVUFR
股票 ,2332,友訊,1994/10/17,上市,通信網路業,ESVUFR
股票 ,2337,旺宏,1995/3/15,上市,半導體業,ESVUFR
股票 ,2338,光罩,1995/4/17,上市,半導體業,ESVUFR
股票 ,2340,台亞,1995/5/2,上市,半導體業,ESVUFR
股票 ,2342,茂矽,1995/9/19,上市,半導體業,ESVUFR
股票 ,2344,華邦電,1995/10/18,上市,半導體業,ESVUFR
股票 ,2345,智邦,1995/11/15,上市,通信網路業,ESVUFR
股票 ,2347,聯強,1995/12/13,上市,電子通路業,ESVUFR
股票 ,2348,海悅,1996/1/5,上市,其他業,ESVUFR
股票 ,2349,錸德,1996/4/23,上市,光電業,ESVUFR
股票 ,2351,順德,1996/4/25,上市,半導體業,ESVUFR
股票 ,2352,佳世達,1996/7/22,上市,電腦及週邊設備業,ESVUFR
股票 ,2353,宏碁,1996/9/18,上市,電腦及週邊設備業,ESVUFR
股票 ,2354,鴻準,1996/10/8,上市,其他電子業,ESVUFR
股票 ,2355,敬鵬,1996/10/14,上市,電子零組件業,ESVUFR
股票 ,2356,英業達,1996/11/13,上市,電腦及週邊設備業,ESVUFR
股票 ,2357,華碩,1996/11/14,上市,電腦及週邊設備業,ESVUFR
股票 ,2359,所羅門,1996/12/19,上市,其他電子業,ESVUFR
股票 ,2360,致茂,1996/12/21,上市,其他電子業,ESVUFR
股票 ,2362,藍天,1997/4/2,上市,電腦及週邊設備業,ESVUFR
股票 ,2363,矽統,1997/8/1,上市,半導體業,ESVUFR
股票 ,2364,倫飛,1997/8/11,上市,電腦及週邊設備業,ESVUFR
股票 ,2365,昆盈,1997/11/3,上市,電腦及週邊設備業,ESVUFR
股票 ,2367,燿華,1997/12/13,上市,電子零組件業,ESVUFR
股票 ,2368,金像電,1998/3/9,上市,電子零組件業,ESVUFR
股票 ,2369,菱生,1998/4/10,上市,半導體業,ESVUFR
股票 ,2371,大同,1962/2/9,上市,電機機械,ESVUFR
股票 ,2373,震旦行,1991/8/1,上市,其他電子業,ESVUFR
股票 ,2374,佳能,1995/1/16,上市,光電業,ESVUFR
